,idx,tokens,class,sentiment
0,3976,День,O,no
1,3976,8-го,O,no
2,3976,марта,O,no
3,3976,прошёл,O,no
4,3976,",",O,no
5,3976,можно,O,no
6,3976,и,O,no
7,3976,итоги,O,no
8,3976,подвести,O,no
9,3976,.,O,no
10,3976,Решил,O,no
11,3976,написать,O,no
12,3976,отзыв,O,no
13,3976,о,O,no
14,3976,ресторане,B-Whole,neutral
15,3976,в,O,no
16,3976,котором,O,no
17,3976,отметили,O,no
18,3976,прекрасный,O,no
19,3976,весений,O,no
20,3976,праздник,O,no
21,3976,",",O,no
22,3976,прочитал,O,no
23,3976,отзывы,O,no
24,3976,edik077,O,no
25,3976,и,O,no
26,3976,Rules77777и,O,no
27,3976,понял,O,no
28,3976,что,O,no
29,3976,либо,O,no
30,3976,мы,O,no
31,3976,были,O,no
32,3976,вразных,O,no
33,3976,ресторанах,B-Whole,neutral
34,3976,",",O,no
35,3976,либо,O,no
36,3976,у,O,no
37,3976,ребят,O,no
38,3976,что-то,O,no
39,3976,незаладилось,O,no
40,3976,.,O,no
41,3976,Но,O,no
42,3976,теперь,O,no
43,3976,о,O,no
44,3976,ресторане,B-Whole,neutral
45,3976,.,O,no
46,3976,Столик,B-Service,neutral
47,3976,бронировали,I-Service,neutral
48,3976,заранее,O,no
49,3976,и,O,no
50,3976,сделали,O,no
51,3976,так,O,no
52,3976,как,O,no
53,3976,предложил,O,no
54,3976,администратор,B-Service,positive
55,3976,т.е,O,no
56,3976,.,O,no
57,3976,сделали,O,no
58,3976,предварительный,B-Service,positive
59,3976,заказ,I-Service,positive
60,3976,",",O,no
61,3976,когда,O,no
62,3976,придя,O,no
63,3976,увидели,O,no
64,3976,полностью,O,no
65,3976,заполненый,O,no
66,3976,ресторан,B-Whole,neutral
67,3976,поняли,O,no
68,3976,что,O,no
69,3976,совет,O,no
70,3976,нам,O,no
71,3976,дали,O,no
72,3976,действительно,O,no
73,3976,правильный,O,no
74,3976,",",O,no
75,3976,в,O,no
76,3976,ресторане,B-Whole,neutral
77,3976,было,O,no
78,3976,человек,O,no
79,3976,70-80,O,no
80,3976,",",O,no
81,3976,тут,O,no
82,3976,действительно,O,no
83,3976,горячее,B-Food,neutral
84,3976,блюдо,I-Food,neutral
85,3976,можно,O,no
86,3976,ждать,O,no
87,3976,весьма,O,no
88,3976,долго,O,no
89,3976,.,O,no
90,3976,Меню,B-Food,positive
91,3976,достаточно,O,no
92,3976,разнообразное,O,no
93,3976,и,O,no
94,3976,весьма,O,no
95,3976,вкусное,O,no
96,3976,",",O,no
97,3976,мне,O,no
98,3976,и,O,no
99,3976,моим,O,no
100,3976,друзьям,O,no
101,3976,понравилось,O,no
102,3976,всё,O,no
103,3976,что,O,no
104,3976,нам,O,no
105,3976,принесли,O,no
106,3976,",",O,no
107,3976,а,O,no
108,3976,принесли,O,no
109,3976,нам,O,no
110,3976,немало,O,no
111,3976,.,O,no
112,3976,Обслуживание,B-Service,both
113,3976,может,O,no
114,3976,и,O,no
115,3976,не,O,no
116,3976,самое,O,no
117,3976,лучьшее,O,no
118,3976,в,O,no
119,3976,городе,O,no
120,3976,",",O,no
121,3976,но,O,no
122,3976,официанты,B-Service,positive
123,3976,делали,O,no
124,3976,всё,O,no
125,3976,что,O,no
126,3976,нужно,O,no
127,3976,.,O,no
128,3976,Должен,O,no
129,3976,сказать,O,no
130,3976,что,O,no
131,3976,ждать,O,no
132,3976,нам,O,no
133,3976,всёравно,O,no
134,3976,пришлось,O,no
135,3976,",",O,no
136,3976,не,O,no
137,3976,очень,O,no
138,3976,долго,O,no
139,3976,конечно,O,no
140,3976,",",O,no
141,3976,но,O,no
142,3976,всё-же,O,no
143,3976,.,O,no
144,3976,Интерьер,B-Interior,positive
145,3976,хороший,O,no
146,3976,",",O,no
147,3976,удобные,O,no
148,3976,диваны,B-Interior,positive
149,3976,.Очень,O,no
150,3976,хорошая,O,no
151,3976,музыкальная,B-Interior,positive
152,3976,программа,I-Interior,positive
153,3976,и,O,no
154,3976,весёлый,O,no
155,3976,ведущий,B-Interior,positive
156,3976,.,O,no
157,3976,В,O,no
158,3976,общем,O,no
159,3976,я,O,no
160,3976,остался,O,no
161,3976,доволен,O,no
162,3976,своим,O,no
163,3976,выбором,O,no
164,3976,",",O,no
165,3976,и,O,no
166,3976,тем,O,no
167,3976,как,O,no
168,3976,мы,O,no
169,3976,провели,O,no
170,3976,вечер,O,no
171,3976,",",O,no
172,3976,хороший,O,no
173,3976,ресторан,B-Whole,positive
174,3976,",",O,no
175,3976,уютный,O,no
176,3976,и,O,no
177,3976,кухня,B-Food,positive
178,3976,хорошая,O,no
179,3976,.,O,no
180,3976,Руководству,B-Whole,positive
181,3976,и,O,no
182,3976,персоналу,B-Service,positive
183,3976,СПАСИБО,O,no
184,3976,.,O,no
185,30808,Отмечали,O,no
186,30808,в,O,no
187,30808,этом,O,no
188,30808,ресторане,B-Whole,neutral
189,30808,день,O,no
190,30808,рождение,O,no
191,30808,на,O,no
192,30808,первом,B-Interior,neutral
193,30808,этаже,I-Interior,neutral
194,30808,в,O,no
195,30808,субботу,O,no
196,30808,вечером,O,no
197,30808,.,O,no
198,30808,Хочу,O,no
199,30808,выразить,O,no
200,30808,большую,O,no
201,30808,благодарность,O,no
202,30808,прежде,O,no
203,30808,всего,O,no
204,30808,руководству,B-Whole,positive
205,30808,ресторана,I-Whole,positive
206,30808,",",O,no
207,30808,обслуживающему,B-Service,positive
208,30808,персоналу,I-Service,positive
209,30808,и,O,no
210,30808,конечно,O,no
211,30808,же,O,no
212,30808,тем,O,no
213,30808,сотрудникам,B-Service,positive
